word	frequency
kid	22227
meant	22085
whatever	22042
passed	22033
met	22021
rose	21878
kids	21827
food	21752
beautiful	21749
hot	21741
fast	21722
early	21675
war	21670
coffee	21618
space	21604
died	21567
view	21479
lips	21441
empty	21372
nice	21346
often	21343
given	21334
stone	21334
neck	21206
happy	21202
wonder	21172
corner	21157
perfect	21152
horse	21016
miss	20963
guess	20856
moving	20821
lived	20752
bar	20709
except	20707
anyway	20699
field	20697
laughed	20658
sir	20601
mark	20508
desk	20503
hour	20480
trees	20447
chest	20392
gun	20292
you'll	20287
cry	20281
followed	20209
train	20163
rock	20077
game	20059
figure	20022
stared	19982
john	19797
visit	19785
drive	19731
you've	19704
memory	19656
upon	19608
free	19568
steps	19564
-ation	19560
exactly	19519
silence	19487
power	19451
edge	19390
-est	19383
hat	19362
beat	19352
goes	19244
river	19208
drop	19174
spoke	19147
summer	19086
straight	19076
wearing	19056
decided	19049
liked	19020
attention	19017
-able	18981
middle	18962
clothes	18924
entire	18872
music	18804
die	18770
apartment	18761
loved	18631
picked	18610
became	18601
fight	18584
wood	18563
rather	18544
they'd	18539
begin	18526
chance	18499
continued	18479
afternoon	18451
tree	18449
tiny	18349
color	18347
party	18335
filled	18276
fear	18249
beneath	18241
brown	18232
leaving	18181
shadow	18151
dinner	18149
beyond	18130
truck	18109
-ness	18079
shut	18061
strong	18040
warm	18005
pain	18004
within	17949
country	17944
suit	17937
control	17923
stepped	17828
report	17774
itself	17761
bird	17702
-ized	17651
themselves	17517
police	17469
nose	17374
gray	17347
thousand	17317
yourself	17314
although	17293
among	17270
ahead	17265
shop	17258
spent	17254
animal	17249
heavy	17224
wondered	17148
kill	17121
group	17111
supposed	17080
whose	17040
bill	16976
wide	16971
hall	16959
married	16885
class	16865
lie	16847
raised	16836
clean	16753
store	16735
station	16715
afraid	16707
nobody	16691
cat	16626
easy	16575
step	16521
sea	16512
deal	16500
tall	16439
search	16363
uncle	16350
expect	16349
american	16334
pass	16322
hey	16313
strange	16241
truth	16159
hurt	16158
teeth	16125
minute	16115
join	16097
mine	16084
bright	16060
mountain	16056
sam	16045
center	16029
scene	16012
foot	15975
fly	15961
staring	15954
smell	15909
leaned	15909
wish	15876
thick	15869
shirt	15799
somewhere	15795
fish	15781
telling	15732
below	15681
dropped	15668
company	15642
we'll	15595
noticed	15587
closer	15581
ring	15559
church	15543
pushed	15527
send	15512
trouble	15458
bedroom	15451
guard	15441
soft	15383
study	15366
act	15293
tail	15288
single	15284
important	15246
serious	15232
thin	15224
stuff	15215
buy	15210
hill	15206
rain	15181
direction	15172
tears	15133
tired	15101
wore	15091
whether	15061
dress	15055
mary	15001
tom	14990
none	14988
crowd	14925
sight	14894
yellow	14884
secret	14874
king	14823
learn	14774
throat	14767
killed	14700
ball	14688
card	14688
glanced	14674
hospital	14663
yard	14649
appear	14617
key	14597
usual	14578
simply	14574
snow	14526
pocket	14509
conversation	14477
machine	14446
changed	14432
imagine	14371
spot	14269
finger	14262
screen	14243
tonight	14238
learned	14218
broken	14188
area	14180
finished	14142
you'd	14108
ice	14107
barely	14106
distance	14104
twenty	14078
silent	14069
covered	13922
write	13874
force	13866
arrived	13842
system	13801
hung	13787
pressed	13772
catch	13762
driver	13754
hole	13753
officer	13705
however	13654
surprised	13628
captain	13621
aunt	13604
third	13590
smoke	13562
camera	13552
especially	13461
somehow	13439
frank	13416
cup	13382
gold	13377
movie	13362
led	13351
huge	13312
tomorrow	13284
poor	13268
general	13162
push	13156
gon	13083
under-	13069
grew	13064
page	13057
placed	13036
track	13014
cool	13005
worry	12982
song	12971
worse	12959
miles	12943
college	12942
round	12937
particular	12931
york	12929
we've	12922
somebody	12920
dressed	12913
slow	12904
whispered	12894
alive	12873
giving	12837
trip	12826
art	12823
quick	12810
stairs	12793
lifted	12759
pair	12727
travel	12715
harry	12710
knees	12701
island	12641
action	12631
shoes	12616
lord	12587
slightly	12549
added	12535
heat	12527
lying	12527
drove	12518
mama	12477
anymore	12447
enjoy	12432
throw	12430
record	12413
nor	12409
david	12407
sweet	12384
cop	12376
carried	12361
usually	12321
paul	12314
history	12298
metal	12265
everybody	12262
pack	12256
mirror	12228
month	12222
seven	12205
crazy	12169
moon	12155
forget	12149
neither	12139
drew	12134
smiling	12074
gaze	12062
service	12051
bottom	12044
