word	frequency
meant	1424
business	1422
large	1422
history	1421
sorry	1420
themselves	1414
chair	1412
allow	1409
brother	1407
given	1403
taking	1402
wind	1398
son	1398
public	1397
explain	1397
visit	1390
upon	1390
slowly	1387
rose	1381
wish	1380
stared	1378
watching	1377
closed	1373
screen	1372
perfect	1370
actually	1368
moving	1363
although	1356
count	1353
rather	1352
figure	1352
friend	1348
fight	1348
break	1339
paper	1337
months	1335
color	1335
eat	1334
brain	1334
gun	1334
standing	1330
fantasy	1327
ready	1326
john	1325
phone	1325
award	1323
seat	1319
park	1307
die	1306
captain	1302
during	1296
among	1295
record	1293
moon	1292
center	1285
strong	1284
they'd	1277
fell	1275
died	1270
we'll	1269
sitting	1269
fear	1269
tiny	1267
friends	1266
food	1265
slow	1265
stuff	1253
sit	1247
fall	1243
piece	1242
game	1242
passed	1242
shut	1237
robot	1236
clean	1231
tale	1229
empty	1228
trees	1224
stars	1221
easy	1220
act	1219
chance	1214
inter-	1213
century	1213
shadow	1209
filled	1203
dad	1199
deal	1194
anyway	1193
cat	1193
station	1191
followed	1190
drink	1187
supposed	1175
wide	1175
dog	1174
self	1171
legs	1170
week	1165
attention	1165
action	1159
fish	1158
laugh	1157
often	1156
below	1155
music	1153
warm	1153
laughed	1152
group	1149
soul	1147
mission	1143
important	1143
carry	1141
happy	1139
learn	1138
exactly	1137
april	1137
shot	1136
wife	1127
silent	1127
cloud	1126
single	1125
universe	1124
third	1124
expect	1120
whose	1119
train	1118
con	1111
address	1109
beneath	1109
bag	1105
sir	1104
hurt	1104
crowd	1103
magazines	1102
michael	1101
yeah	1099
guess	1098
surface	1096
became	1094
stepped	1093
creature	1091
writing	1089
early	1088
william	1086
picked	1086
computer	1085
decided	1083
ghost	1078
middle	1077
ahead	1076
pain	1073
wondered	1073
thin	1072
hour	1071
river	1069
spoke	1069
writers	1067
add	1066
catch	1063
changed	1061
obvious	1059
lived	1057
mom	1054
level	1054
message	1053
secret	1049
none	1049
report	1047
spot	1047
shift	1045
dropped	1043
we've	1041
baby	1041
write	1040
november	1037
bar	1036
sight	1033
silence	1031
somewhere	1030
american	1030
nice	1029
quickly	1028
-ments	1027
language	1025
pick	1022
join	1021
force	1020
raised	1019
engine	1018
chest	1014
metal	1013
nobody	1012
doctor	1012
pack	1012
whether	1010
trouble	1009
yourself	1005
thirty	1004
brown	1002
guard	997
hat	996
master	995
doubt	993
weeks	992
enjoy	992
smell	992
foot	986
killed	984
sharp	983
editor	982
search	979
you'd	977
dozen	974
track	974
mountain	971
fit	971
weren't	970
spent	970
odd	970
wood	969
leaving	967
usual	966
print	961
company	960
mine	959
built	955
picture	953
mis-	951
save	951
particular	949
safe	949
win	948
pocket	948
heavy	948
art	946
position	946
straight	946
program	945
peter	945
broken	942
heat	941
pushed	940
general	940
october	939
natural	938
truth	938
miss	935
tree	935
wave	934
country	933
appear	931
neck	929
dust	929
drive	929
sister	928
reality	927
beautiful	926
simply	925
aren't	923
tight	922
gray	922
led	922
writer	921
march	918
area	918
lie	918
cool	917
hole	917
eight	916
round	916
buy	916
afraid	913
mars	911
sub-	909
key	908
alive	908
somehow	905
thick	905
haven't	904
expected	902
daughter	902
card	901
desk	901
direction	900
ancient	899
special	898
tom	898
however	897
service	895
learned	895
bear	894
glanced	894
magazine	893
pull	893
telling	892
flat	891
pages	890
consider	887
huge	887
we'd	885
bill	883
wild	882
loud	882
parents	881
ice	880
liked	879
series	879
law	878
goes	877
pair	877
tall	876
teeth	875
contact	874
hill	874
familiar	872
continued	870
december	870
leaned	869
minute	868
test	868
team	868
hunt	865
mail	863
corner	862
bridge	862
lips	862
personal	861
claim	861
base	861
coffee	860
gold	859
wearing	858
june	858
tired	854
rain	853
lady	850
serious	849
flow	848
distance	846
plant	846
mrs	845
block	844
list	843
noticed	843
seven	843
drop	843
murder	842
york	840
clothes	840
garden	839
trans-	838
flash	836
horse	836
million	835
attack	835
nor	835
treat	833
barely	832
shape	831
port	828
closer	826
club	825
shirt	824
ring	823
beat	822
lord	822
dry	822
grew	821
whispered	819
study	817
using	817
push	816
offer	814
finished	812
shrugged	812
local	809
month	808
original	807
august	806
rich	805
attempt	804
cry	804
song	804
kitchen	803
pressed	803
project	802
placed	798
size	797
imagine	796
bottom	795
hall	795
indeed	794
post-	794
tail	792
jack	789
charge	788
copy	788
spread	788
editorial	787
mention	787
written	785
gift	784
-ations	781
trip	781
board	780
carried	779
david	778
brief	777
paid	776
recent	776
begin	776
focus	775
research	775
cannot	772
plus	771
yellow	771
exist	769
worse	769
worry	769
energy	768
accept	767
choice	767
market	762
command	761
instant	760
nose	759
throat	756
hung	755
added	754
surprised	753
glow	753
double	751
trust	751
leg	750
poor	749
quick	746
path	746
carefully	746
grass	745
press	744
paul	743
north	743
especially	743
finger	742
usually	741
current	741
radio	740
calm	739
signal	739
husband	737
island	736
neither	734
silver	732
result	732
simple	732
further	732
party	731
store	730
pop	729
suppose	728
fair	728
throw	727
mary	726
